Flooded Areas within Pasig City 2020,,,,
No.,Barangay,Street,Landmark,Water Level (Estimated)
1,Manggahan,Magsaysay St.,Teachers Village,3-4 inches
2,Manggahan,MRR,Soliven Ave.,2-3 inches
3,Manggahan,Ortigas Ave.,Soliven Ave.,3-4 inches
4,Sta. Lucia,1st St.,DMA Comp.,12 inches
5,Kapitolyo,"West Capitol
Drive/Shaw","infront of Petron
and Mercury Drug",6-10 inches
6,San Miguel,"Lupang Pari
Eusebio Ave.",,12 inches
7,Manggahan,M.L. Quezon St.,,2-3 inches
8,Rosario,Ortigas Ext.,infront of GSIS,2-3 inches
9,Sta. Lucia,Champaca St.,,2-3 inches
10,Maybunga,F. Legaspi St.,,2-3 inches
11,Malinao,"Urbano Velasco
Ave.",Pasig Mega Market,3 inches
12,Manggahan,Pres. Quezon St.,corner Peras St.,5 inches
13,Manggahan,Soliven Ave.,corner PGPV St.,12 inches
14,Pinagbuhatan,Eusebio Ave.,Block 19,3-4 inches
15,Pinagbuhatan,Caliwag,,12 inches
16,Sta. Lucia,Bagong Anyo,Morales comp,4 Inches
17,Sumilang,Katwiran,,2 Inches
18,Sumilang,Magtangol,,2 Inches
19,Sumilang,Dakila,,2 Inches
20,Sumilang,Kalayaan,,1 Inches
21,Sumilang,Dos De Julio,,1 Inches
22,San Nicolas,Caruncho Ave.,Corner F. Manalo,5 inches
23,Pinagbuhatan,E. Santos,,5 inches
24,Pinagbuhatan,Centennial 2,,2 Inches
25,Rosario,Ortigas Ext.,,6 Inches
26,San Joaquin,Villa Capistrano,,3 to 5 Inches
27,Pinagbuhatan,Catalino St.,,3 to 4 inches
28,San Miguel,JRA Coumpound,,5 inches
29,Malinao,141 A. Luna St.,,5 inches
30,Santolan,Squarte Garden,,5-6 feet
31,Bambang,Kapitolyo Homes,,5 inches
32,Palatiw,N. Cruz St.,,12 inches
33,Maybunga,C. Raymundo Ave,,1 Feet
34,Rosario,Ortigas Ext.,,12 inches
35,Pinagbuhatan,Villa Alegre,,12 inches
36,Manggahan,Kaginhawaan St,,2 Feet
37,Pineda,Pasig Boulevard St.,,12 inches
38,Manggahan,Teachers Village St,,12 inches
39,Manggahan,Magsaysay St.,,12 inches
40,Manggahan,Kaginhawaan St,,12 inches
41,Manggahan,MOA comp.,,12 inches
42,Manggahan,Karangalan St.,,12 inches
43,Manggahan,Gomez St.,,5 to 6 Inches
