barangay_name,psgc_10_digit_code,psgc_correspondence_code,source_url,reference_date
Bagong Ilog,1381200001,137403001,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Bagong Katipunan,1381200002,137403002,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Bambang,1381200003,137403003,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Buting,1381200004,137403004,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Caniogan,1381200005,137403005,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Dela Paz,1381200006,137403006,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Kalawaan,1381200007,137403007,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Kapasigan,1381200008,137403008,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Kapitolyo,1381200009,137403009,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Malinao,1381200010,137403010,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Manggahan,1381200011,137403011,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Maybunga,1381200012,137403012,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Oranbo,1381200013,137403013,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Palatiw,1381200014,137403014,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Pinagbuhatan,1381200015,137403015,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Pineda,1381200016,137403016,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Rosario,1381200017,137403017,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Sagad,1381200018,137403018,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
San Antonio,1381200019,137403019,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
San Joaquin,1381200020,137403020,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
San Jose,1381200021,137403021,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
San Miguel,1381200022,137403022,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
San Nicolas,1381200023,137403023,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Santa Cruz,1381200024,137403024,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Santa Rosa,1381200025,137403025,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Santo Tomas,1381200026,137403026,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Santolan,1381200027,137403027,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Sumilang,1381200028,137403028,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Ugong,1381200029,137403029,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
Santa Lucia,1381200030,137403030,https://psa.gov.ph/classification/psgc/barangays/1381200000,2026-09-23
