psgc_code,correspondence_code,name,level,region,province,city_municipality
0100000000,010000000,Region I (Ilocos Region),Reg,,,
0102800000,012800000,Ilocos Norte,Prov,Region I (Ilocos Region),,
0102801000,012801000,Adams,Mun,Region I (Ilocos Region),Ilocos Norte,
0102801001,012801001,Adams,Bgy,Region I (Ilocos Region),Ilocos Norte,Adams
0102802000,012802000,Bacarra,Mun,Region I (Ilocos Region),Ilocos Norte,
0102802001,012802001,Bani,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802002,012802002,Buyon,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802003,012802003,Cabaruan,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802004,012802004,Cabulalaan,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802005,012802005,Cabusligan,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802006,012802006,Cadaratan,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802007,012802007,Calioet-Libong,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802008,012802008,Casilian,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802009,012802009,Corocor,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802011,012802011,Duripes,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802012,012802012,Ganagan,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802013,012802013,Libtong,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802014,012802014,Macupit,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802015,012802015,Nambaran,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802016,012802016,Natba,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802017,012802017,Paninaan,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802018,012802018,Pasiocan,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802019,012802019,Pasngal,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802020,012802020,Pipias,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802021,012802021,Pulangi,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802022,012802022,Pungto,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802024,012802024,San Agustin I,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802025,012802025,San Agustin II,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802027,012802027,San Andres I,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802028,012802028,San Andres II,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802030,012802030,San Gabriel I,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802031,012802031,San Gabriel II,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802033,012802033,San Pedro I,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802034,012802034,San Pedro II,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802036,012802036,San Roque I,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802037,012802037,San Roque II,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802039,012802039,San Simon I,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802040,012802040,San Simon II,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802041,012802041,San Vicente,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802042,012802042,Sangil,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802044,012802044,Santa Filomena I,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802045,012802045,Santa Filomena II,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802046,012802046,Santa Rita,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802047,012802047,Santo Cristo I,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802048,012802048,Santo Cristo II,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802050,012802050,Tambidao,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802051,012802051,Teppang,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102802052,012802052,Tubburan,Bgy,Region I (Ilocos Region),Ilocos Norte,Bacarra
0102803000,012803000,Badoc,Mun,Region I (Ilocos Region),Ilocos Norte,
0102803001,012803001,Alay-Nangbabaan,Bgy,Region I (Ilocos Region),Ilocos Norte,Badoc
0102803002,012803002,Alogoog,Bgy,Region I (Ilocos Region),Ilocos Norte,Badoc
0102803003,012803003,Ar-arusip,Bgy,Region I (Ilocos Region),Ilocos Norte,Badoc
0102803004,012803004,Aring,Bgy,Region I (Ilocos Region),Ilocos Norte,Badoc
0102803005,012803005,Balbaldez,Bgy,Region I (Ilocos Region),Ilocos Norte,Badoc
0102803006,012803006,Bato,Bgy,Region I (Ilocos Region),Ilocos Norte,Badoc
0102803007,012803007,Camanga,Bgy,Region I (Ilocos Region),Ilocos Norte,Badoc
0102803008,012803008,Canaan,Bgy,Region I (Ilocos Region),Ilocos Norte,Badoc
0102803009,012803009,Caraitan,Bgy,Region I (Ilocos Region),Ilocos Norte,Badoc
0102803011,012803011,Gabut Norte,Bgy,Region I (Ilocos Region),Ilocos Norte,Badoc
0102803012,012803012,Gabut Sur,Bgy,Region I (Ilocos Region),Ilocos Norte,Badoc
0102803013,012803013,Garreta,Bgy,Region I (Ilocos Region),Ilocos Norte,Badoc
